question,status,answer
您好想請問一下是否還可以申請公司電腦作為開會使用，我的電腦是電競筆電太耗電了，實體會議時間比較長，電腦常常撐不住，所以想申請一台作為開會時使用。,True,"可以申請公司電腦作為開會使用，請上BPM填寫資訊系統需求單，申請類別請選擇「OA及設備申請」，申請內容及細項再依您的需求填寫，並將需求說明清楚經主管核准後，IT人員就會開始幫您準備您所需要的電腦。若有其他問題，請聯絡以下承辦人：
陳源勝/8815/VitoChen@wistronits.com
謝悰宇/8965/SamXie@wistronits.com"
"我想要發信給人資
但我的outlook沒辦法附件我的圖片
那我還有其他方法可以寄圖片給人資嗎？",True,您可以使用其他雲端儲存服務，例如Google Drive或Dropbox，將圖片上傳至雲端，然後在信件中提供連結給人資。這樣人資就可以透過連結下載您的圖片。如果您還有其他問題，請聯絡相關承辦人員，他們會很樂意協助您。
"請問體檢報告寄出了嗎？
請幫忙確認，謝謝",True,很抱歉，我無法回答以上問題，請聯絡相關單位或負責人員進行確認。
"1.哈囉 請問現在不能用HRMS嗎
2.另外能請教嗎
我先前調查年假時 我有申請延期
所以我去年的假 今年必須用完？
還是我沒用完的特休會轉成薪資",False,"1.很抱歉，我無法回答以上問題，請聯絡8855。
2. 若您的特休假展延申請已經被核准，剩餘的特休假天數可以展延至下一年度再使用，若展延後一年仍未休完，會直接轉換為代金。如果您的特休假已經到期，且未使用完畢，則會轉換為代金。若您有其他問題，歡迎聯絡以下人資部聯絡人：
Yui/#8836/YuiWong@wistronits.com"
"可以幫我重置一下我的e-mail密碼嗎？
我的帳號登入不進去， 可以重置密碼？ 謝謝。",True,"若您的信箱無法登入，請聯繫Vito及William處理。他們的聯絡方式如下：
陳源勝/8815/VitoChen@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com"
請問薪資明細要怎麼查詢呢???,True,"請您至人資服務平台查詢薪資明細。方法如下：
1.先設定私人郵件地址：
進入HR自助 >人事管理 >員工自助 >我的檔案 >個人資訊 >維護欲收取薪資條密碼之私人郵件地址>點擊保存
2.首次查詢：
至HR自助 >薪資福利 >員工自助 >我的薪資>點選重置密碼，
系統將發送薪資查詢密碼函至您上述指定之私人email。（若您未收到，請試著至您垃圾郵件中查找，並將iSM_HRMS@wistronits.com此一寄件地址設定為安全之寄件者）
輸入初始查詢密碼後，再行登錄可自行按下修改密碼，改為您指定的薪資查詢密碼，未來若忘記密碼，亦請依上述步驟重置密碼
3.查詢薪資明細：
至HR自助 >薪資福利 >員工自助 >我的薪資，輸入欲查詢的月份即可。
如果有任何問題，請聯絡HR Maggie (02-77458839/MaggieWu@wistronits.com)。"
請問下個月的薪資 勞退提撥6%可以調整嗎？,True,員工退休金自願提繳意願變更作業，每年統一於6月份及12月份進行變更調查；如欲調整提繳比率，請留意公司MEMO通知，屆時再請提出申請，其他時間不開放變更。若有其他問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
"您好 想請問我的密碼未在時間內做修改
可以提供我新的激活連結嗎 謝謝",False,很抱歉，我無法回答以上問題，請聯絡8855。Sorry it is out of my knowledge. Please contact 8855 for further assistance.
請問我想要幫家人加保健保，該找誰處理？,True,請來信提供您的工號、眷屬姓名、與您的關係稱謂、生日、身分證字號、加保生效日給承辦人辦理加保。承辦人的聯絡方式為Yui/#8836/YuiWong@wistronits.com。
"您好，
我想申請眷屬加保健保，已寄信給承辦人YuiWong(TP-翁甄霞)，但遲遲都沒有收到回應，看了這次的薪資紀錄，發現尚未納保，請問處理這個業務的承辦是否有更換呢?

謝謝您",True,"很抱歉，我無法回答以上問題，請聯絡YuiWong(TP-翁甄霞)以獲得更詳細的資訊。您可以透過以下方式聯絡她：
Email: YuiWong@wistronits.com
分機: #8836"
信箱,True,"若是您的信箱無法登入，請聯繫Vito及William；他們的聯絡方式為：
陳源勝/8815/VitoChen@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com"
"最近 outlook 常出現以下訊息，請問可以如何處理？
*我們找不到使用該電子郵件地址的公司或學校帳戶*",True,這個問題可能是因為Outlook無法識別您的電子郵件地址所屬的公司或學校帳戶。您可以嘗試重新設定Outlook帳戶，或是聯繫您的公司或學校的IT部門尋求協助。如果需要更詳細的幫助，請聯絡謝悰宇/8965/SamXie@wistronits.com。
您好 有同仁翁林嶸已通過試用期，但系統上無法使用個人假,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問詳細資訊。
"請問一下如果用app請普通傷病假（病假）
是半薪嗎",True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
"1.您好 我hrms進不去，請問目前是在維護中嗎？
2.另外再請問一下，有那個地方可以看到公司特約資訊嗎？",False,"1.很抱歉，我無法回答以上問題，請聯絡8855。
Sorry it is out of my knowledge. Please contact 8855 for further assistance.

2.您可以至公司網站上的「特約商店」或「特約廠商」專區查詢。"
"您好，請問一下，我們同仁配發新筆電了，但無法連上VPN ，前面打了TP/也一樣，請問可以麻煩哪位IT 同仁與他聯絡？
他是邱奕貴，TP2106030
謝謝",True,您可以聯繫IT部門的高唯朕/William Kao (8813) 或謝悰宇/Sam Xie (8965) 處理此問題。
您好，我在6月底入職，但個人假那邊卻是空的,True,您好，根據公司的個人假規定，個人假是依照在職時間做比例計算給假，因此您在入職當月並未有個人假的額度。若您有任何其他問題，歡迎聯繫人資部的Yui，聯絡方式為#8836或YuiWong@wistronits.com。
"您好!!
我想請教個問題
想請問公司的電信費補助是每個員工都可以申請的嗎?
我記得之前好像報公司統編選擇方案就可以
但現在好像要特別申請而且需要特殊事由(?
我去年辦得所以其實6月到期了
然後我現在是課級主管可是我今天都沒有重新填寫這張表
我可以跟確認我需不需要重新申請呢",True,您好！關於公司的電信費補助，只有符合特定條件的員工才能申請，包括課級以上主管、工作業務所需、優異表現特許之員工、專案呈報經執行長核准等。申請方式及作業規範請參考FAQ中的說明。如果您去年已經辦理過，且符合申請條件，可以向公司櫃台專員詢問是否需要重新申請。如果有任何疑問，也可以聯絡FAQ中提供的聯絡人進一步詢問。
我目前特休及個人假都還沒出現 麻煩協助查明,True,"請您先至HR Portal""我的假期查詢""中查詢，若還是無法查到，請來信或來電詢問人資部承辦人，以下是聯絡方式：
Yui/#8836/YuiWong@wistronits.com"
本週下午要接種新冠疫苗，請問可以請什麼假？,True,"您可以請事假或特休假，若您已經用完特休假，也可以請事假，但需以小時為單位提出申請。若您需要更詳細的請假規定，請參考員工請假暨出勤辦法。若有其他問題，歡迎聯絡人資部門，聯絡人資訊如下：
Yui/#8836/YuiWong@wistronits.com"
問一下喔 公司現在婚假的規定是怎樣的？,True,入職後，於結婚事實三個月內提出申請，8天需一次請完，為有薪假。如果您有更多問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
想請問受僱者聲明書可以在哪邊取得,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
"Sorry 請教您~
為何我屢屢(每天)不斷地收到這樣的郵件:
不知是什麼設定有問題??",False,很抱歉，我無法回答以上問題，請聯絡8855。
"1.Hi 不好意思，我在系統上填寫陪產假，但是找不到地方可以附件出生證明檔案以及受僱者聲明書，請問我可以用公司email寄給誰之類的嗎
2.不好意思, 受雇者聲明書
裡面需要填寫每日薪資
這部分該如何填寫 ?",True,"1. 您可以將出生證明檔案及受僱者聲明書掃描或拍照後，以Email方式寄給陪產假承辦人，請附上您的員工編號及申請事由。
2. 受僱者聲明書中的每日薪資，指的是您實際工作的每日薪資，可參考您的薪資明細或請向主管確認。如果無法確認，建議填寫您的基本薪資。"
請問在請假系統的年假是特休假嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
"您好！ 想請教個人假的重新累計時間是每年的1/1嗎？
因為特休我記得是到職日重新累計",True,是的，個人假的重新累計時間是每年的1/1。特休則是以到職日重新累計。如果您有其他問題，歡迎聯絡我們的人資部，聯絡方式為Yui/#8836/YuiWong@wistronits.com。
"您好
到職滿半年
但請假系統
個人假天數無增加",True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com或Maggie/#8839/MaggieWu@wistronits.com詢問人資部承辦人。
"1.你好 請假系統好像發生異常
App因為換手機重新掃QRcode安裝也無果
2.HRMS休假時長不能點選、修改
印象中 是選完結束時後會自動帶出來才是?",True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com處理。
"HI 
請問
我剛在 wistronits.com 的 portal 上填假單
要儲存假單的時候
系統說
""休假時段的時長超出了事假的可用時長!""
但我請的假別是  事假
這個我該如何做才能儲存 
我這次填單的時間有點晚
我是要填 10 月份的
假單",True,"很抱歉，我無法回答這個問題，建議您直接聯絡人資部的承辦人，詢問如何處理這個問題。您可以透過以下聯絡方式聯繫承辦人：

Yui/#8836/YuiWong@wistronits.com"
"您好～
我的登入密碼忘記了",True,請您至登入頁面點選「忘記密碼」，系統將會寄送密碼重設信至您的註冊信箱，請依照信件內容進行密碼重設。若有其他問題，請聯絡IT部門謝悰宇(8965/SamXie@wistronits.com)。
你好，想請問緯創每年多給的5天假是以天還是小時為單位？,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問。
"入職後，於結婚事實三個月內提出申請，8天需一次請完，為有薪假
請問申請需要跟誰申請呢",True,您可以聯繫Yui，她是負責婚假相關事宜的承辦人，她的聯絡方式是#8836或YuiWong@wistronits.com。
".想問一下公司email密碼若過期，有其他方式可以更新嗎?
2.HI...可以傳緯創員工服務中心LINE的QR code給我嗎?",True,"1. 若公司email密碼過期，請依照以下步驟進行更新：
- 進入公司VPN
- 進入Outlook信箱
- 依照系統提示進行密碼更新
若有任何問題，請聯繫IT部門的林政男或高唯朕。
林政男/8818/ChengnanLin@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com

2. 很抱歉，我無法提供緯創員工服務中心LINE的QR code，建議您直接搜尋「緯創員工服務中心」加入好友即可。若有其他問題，歡迎隨時聯繫相關單位的承辦人員。"
"今天課程無法登入
可以傳一下網址?",True,很抱歉，我無法回答以上問題，請聯絡相關承辦人或IT人員尋求協助。您可以參考FAQ中提供的聯絡人資訊，或者撥打公司內部客服專線8855尋求協助。
請問微軟園地app 要在哪下載,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問緯軟園地App的iOS版本是否需要再安裝新版才能使用呢？今天想登入時發現App無法開啟,True,很抱歉，我無法回答以上問題，請聯絡謝悰宇/8965/SamXie@wistronits.com。
軟工小周末] 11/16(三) 今天的連結沒收到，可以上哪看,False,很抱歉，我無法回答以上問題，請聯絡8855。
"1.我剛剛用APP請個人假 有一個填錯了 麻煩幫我退回12/5的申請謝謝
2.那個填完之後多久之後會在系統看到呢
3.請假要用VPN 手機也可以嗎",True,"1. 若假單還沒審批完成，可請審批人收回審批，申請人就可以去調整時數或類別；若假單已審批完成，請提出銷假申請。您可以聯繫Yui/#8836/YuiWong@wistronits.com詢問詳細流程。
2. 一般來說，填完假單後，系統會在24小時內完成審核，您可以至HR Portal查詢您的假單狀態。
3. 是的，請假需要使用VPN，手機也可以使用。您可以參考以下連結：https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN/。如果有任何問題，可以聯繫謝悰宇/8965/SamXie@wistronits.com。"
App突然不能用了 找不到更新的地方,False,很抱歉，我無法回答以上問題，請聯絡8855。Sorry it is out of my knowledge. Please contact 8855 for further assistance.
"Hrm 
壞了嗎",False,很抱歉，我無法回答以上問題，請聯絡8855。
緯軟園地,True,"很抱歉，我無法確定您的問題是什麼，請提供更詳細的問題描述。如果您需要關於緯軟園地的相關資訊，請參考緯創軟體公司的官方網站或聯絡他們的客服人員。聯絡方式如下：

緯創軟體官方網站：https://www.wistronits.com/
客服電話：02-6606-8888
客服信箱：service@wistronits.com"
請問我們公司團保的部分 確診新冠會有保險可以申請嗎,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com以獲得更詳細的資訊。
"hi 不好意思
因為我緯創園地APP跟 緯軟VPN都無法登入
我想要比對一下我的請假紀錄是不是有齊全
可否請您幫忙",True,"很抱歉，我無法回答以上問題，請聯絡您的人資部承辦人，或是依照以下資訊聯絡相關人員：

若是緯創園地APP無法登入，請聯繫謝悰宇或是相關IT人員協助處理。
謝悰宇/8965/SamXie@wistronits.com

若是緯軟VPN無法登入，請聯繫相關IT人員協助處理。
高唯朕/8813/WilliamKao@wistronits.com

若您想要比對請假紀錄是否齊全，請至HR Portal""我的假期查詢""中查詢，或是聯絡您的主管或人資部承辦人。
Yui/#8836/YuiWong@wistronits.com"
"請問一下同仁若是 叔叔過世  適用於以上的喪假嗎? 謝謝
如果不適用  是不是請假只能請自己的假~~",True,根據FAQ中提到的喪假規定，叔叔不在喪假規定範圍內，因此無法申請喪假。若同仁需要請假，則需使用個人假或事假。請注意，一張假單只能有一種假別，不同休假類別請分開申請。如有其他問題，歡迎聯絡人資部的Yui/#8836/YuiWong@wistronits.com。
"剛才查詢可用假期 - 發現有8小時被凍結，
請問為何會有這8小時被凍結？
如何使用或處理？",True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問。
不好意思 想請問現在緯軟園地app是否在維修中? 有同仁反映無法開啟,True,很抱歉，我無法回答以上問題，請聯絡謝悰宇/8965/SamXie@wistronits.com。
確診相關勞保理賠,False,很抱歉，我無法回答以上問題，請聯絡8855。
"想請問一下公司VPN我這兩天都是以上的狀態
有先停用再啓用還是撥不通",False,很抱歉，我無法回答以上問題，請聯絡8855。
請問本月薪資，健保費的部分比上月多，是什麼原因呢？,False,很抱歉，我無法回答以上問題，請聯絡8855。
公司112年辦公日曆已經出來了嗎？,False,很抱歉，我無法回答以上問題，請聯絡8855。
"1.不好意思, 想請問公司績效獎金都是分別何時會發呢? 謝謝!
2.另外 想請問一下, 我用IOS手機點選上麵給的iOS安裝連結,但點選後,會到一個網頁,但全部都是空白的,實際上也沒有檔案被下載下來至手機,請問該如何解決呢?",True,"1. 公司的年終獎金預算總額是依照該年度公司整體的營運績效結果而定，個人之獎金額度則會根據所屬事業單位的營運績效及個人考績進行計算。至於績效獎金發放時間，每年6月及12月會發放。若有任何疑問，請聯絡Maggie/#8839/MaggieWu@wistronits.com。

2. 很抱歉，您遇到的問題可能需要進一步檢查，建議您聯絡緯軟員工專屬APP-緯軟園地WITSLife的聯絡人謝悰宇/8965/SamXie@wistronits.com，他們會提供進一步的協助。"
銷假申請那個是甚麼意思呢? 另外請問這幾天提交的休假申請審到哪裡了，進度要去哪裡看呢?,True,"銷假申請是指已經批准的假單需要取消或修改時所需提出的申請。至於您提交的休假申請進度，您可以至HR Portal查詢您的假單審批進度。如果您需要更詳細的資訊，請聯絡人資部承辦人，聯絡方式如下：

Yui/#8836/YuiWong@wistronits.com"
隔離通知書是PDF要如何上傳?,False,很抱歉，我無法回答以上問題，請聯絡8855。
Hi 可以問一下公司印表機如何設定嗎?,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問我座位區的燈不亮了，是要跟誰反應,True,"請向總務同仁反應。
VicChao/#8927/VicChao@wistronits.com"
"hi 請問我公司郵件密碼好像忘記了  方便幫我重置密碼嗎?
tp2107022 chenhuili",True,很抱歉，我無法回答以上問題，請聯絡您的IT部門或是相關人員協助您重置密碼。
想請問我的個人假剩餘天數 感謝,True,"請至HR Portal""我的假期查詢""中查詢，若有任何疑問，請聯絡Yui/#8836/YuiWong@wistronits.com。"
"請問 *如何去找到這兩筆資料* （找不到）？
1. 一筆是5/5 特休，被駁回，主管同意不扣假
2. 一筆是請7/25-7/29 病假，被HR駁回，需要上傳相關證明文件
因為在 HRMS 上找不到這兩筆，所以也無法處理。
敬請協助處理！
",True,"很抱歉，我無法回答以上問題，請聯絡人資部的承辦人尋求協助。您可以透過以下方式聯絡承辦人：
Yui/#8836/YuiWong@wistronits.com
Maggie/#8839/MaggieWu@wistronits.com"
"1.請問自評的部分是寫分數嗎
2.請問一下 我們職等要去哪裡看？",True,"1. 自評部分是填寫自己對於工作表現的評價，並非填寫分數。
2. 職等相關資訊可以向您的主管詢問，或是至HR Portal中的「我的薪資」中查詢。若有任何疑問，也可以聯絡人資部承辦人進行詢問。"
VPN我打不開第一個連結…,False,很抱歉，我無法回答以上問題，請聯絡8855。Sorry it is out of my knowledge. Please contact 8855 for further assistance.
忘記公司的郵箱密碼,True,請至webmail登入頁面，點選「忘記密碼」，系統將會發送密碼重置信至您的私人郵箱，請依照信件內容進行密碼重置。若有任何問題，請聯絡謝悰宇/8965/SamXie@wistronits.com。
"win的vpn沒辦法正常使用a
再麻煩解答 謝謝",True,"為了防範外部入侵機密資訊洩漏資安風險及配合公司資安政策， HRMS對外Internet服務HR已公告服務關閉，如同仁請假、加班、簽核需透過VPN登入系統，同仁請使用 SSL VPN(PaloAlto) 進行連線，使用手冊如下連結。
https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN/
如果您仍然無法正常使用VPN，建議您聯繫IT部門的高唯朕/8813/WilliamKao@wistronits.com尋求協助。"
請問現在請假系統無法登入，可以麻煩協助一下嗎？謝謝,True,"請問您是否有試著透過VPN登入請假系統呢？如果還是無法登入，請您將問題畫面截圖Mail寄給承辦人，待系統廠商解決問題，承辦人會再回覆您。承辦人的聯絡方式如下：
Yui/#8836/YuiWong@wistronits.com"
"您好，我想問一下關於公司發的自選禮卷的問題，謝謝
Q：因我即將從緯創離職，想問離職後，還可以使用/兌換目前受到的禮卷嗎?",False,很抱歉，我無法回答以上問題，請聯絡8855。
您好，公司規定的體溫表網址點後，會出現下圖，但按返回首頁是還可以填..,False,很抱歉，我無法回答以上問題，請聯絡8855。
好，請問HRMS 網站目前是否無法連線？謝謝,False,很抱歉，我無法回答以上問題，請聯絡8855。
"1.您好 請問如果是國定假日的補班需配合客戶上班，那加班費算是*1.3嗎？
2.不好意思~ 請問你們這邊有辦法協助同仁登入查看HRMS嗎?還是一樣要經過HR或IT?",True,"1. 如遇國定假日補班需配合客戶上班，加班費為加倍工資（1倍）。
2. 很抱歉，我無法協助同仁登入查看HRMS，請聯繫HR或IT部門協助處理。您可以聯繫HR Maggie (02-77458839/MaggieWu@wistronits.com) 或 IT 謝悰宇(02-66078865/SamXie@wistronits.com)。"
您好，請問一下昨天下班坐交通車回家的時候，掉了一枚戒指在車上，請問有什麼失物招領中心可以去問一下嗎？,False,很抱歉，我無法回答以上問題，請聯絡8855。
請問可以線上參與嗎？需要報名嗎？,False,很抱歉，我無法回答以上問題，請聯絡8855。
如是約聘人員 可否報名參加？謝謝～,True,很抱歉，我無法回答以上問題，請聯絡相關聯絡人員詢問。
哎，我們這種駐點外地且需要加班的人，基本上對這種活動絕緣了,False,很抱歉，我無法回答以上問題，請聯絡8855。
"您好，我也碰到同樣的問題了
VPN 是有開啟的",True,"請問您的問題是關於什麼方面的呢？如果是關於透過VPN登入HRMS請假加班系統的問題，請使用 SSL VPN(PaloAlto) 進行連線，使用手冊如下連結。
https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN/
如果您有其他問題，請提供更詳細的資訊，我們會盡力協助您解決問題。如果無法回答以上問題，請聯絡8855。"
不好意思，想請問一下我請假的部分有需要請交接人填什麼嗎？,True,"請跟您的主管詢問，看是填寫主管還是負責的CSR同仁。您可以透過以下聯絡方式聯繫相關人員：
Yui/#8836/YuiWong@wistronits.com"
請問我的手機沒有辦法進到HRMS的網頁是正常的嗎？,False,很抱歉，我無法回答以上問題，請聯絡8855。
"請問我要申請加班，可是人資服務平台是不是掛掉了？https://hrmsportal.wistronits.com/portal/app/mockapp/login.jsp?lrid=1
顯示 can not find window in pool, id:login",False,很抱歉，我無法回答以上問題，請聯絡8855。
不好意思我的outlook密碼上次更改完忘記了 要如何重置呢,True,"您可以透過以下步驟重置Outlook密碼：
1. 進入Outlook登入頁面，點選「忘記密碼」。
2. 輸入您的帳號，並選擇重置密碼的方式（例如透過電子郵件或手機簡訊）。
3. 根據系統提示進行驗證，並設定新的密碼。
如果以上步驟無法解決您的問題，請聯絡IT部門承辦人員協助處理。
謝悰宇/8965/SamXie@wistronits.com"
"您好！
我想請問是否可以協助修改假別呢
2022/10/13-14的
兩天假別，想改成病假～",True,若假單還沒審批完成，可請審批人收回審批，申請人就可以去調整時數或類別；若假單已審批完成，請提出銷假申請。您可以至HR Portal提出銷假申請，休假起訖時間調整為實際休假時間。銷假申請流程：https://reurl.cc/QWDmM5。若有其他問題，歡迎聯絡Yui/#8836/YuiWong@wistronits.com。
"請問 HRMS 是否有調整 URL 或是 維修中？
因為不論 Chrome 或是 edge 都是出現上述 Dialog 提示
已依該 SOP 處理 - HRMS網頁無法顯示解決辦法.docx ，
已可使用。

但是為何一陣子就會發生？",False,很抱歉，我無法回答以上問題，請聯絡8855。
不好意思，我們有同仁 賴柏宇 說他之前沒有拿到工作證，希望可以補寄給他~,True,"請讓賴柏宇同仁來信告知承辦人，提供員工編號及申請事由，並附上身分證正反面影本，我們會協助處理。聯絡人資訊如下：
Yui/#8836/YuiWong@wistronits.com"
請問 HRMS 系統登不進去,True,"為防範外部入侵機密資訊洩漏資安風險及配合公司資安政策， HRMS對外Internet服務HR已公告服務關閉，如同仁請假、加班、簽核需透過VPN登入系統，同仁請使用 SSL VPN(PaloAlto) 進行連線，使用手冊如下連結。
https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN/
HRMS請假加班系統:https://hrmsportal.wistronits.com/portal/
若仍有問題，請聯絡謝悰宇/8965/SamXie@wistronits.com。"
HRMS,True,"HRMS是指人力資源管理系統，是一個集合了人事、薪資、考勤等相關資訊的系統。如果您有關於HRMS的問題，可以參考以下聯絡人資訊：

謝悰宇/8965/SamXie@wistronits.com
Maggie/#8839/MaggieWu@wistronits.com
Yui/#8836/YuiWong@wistronits.com
Judy/#8953/JudyHsueh@wistronits.com"
你好，我可以問一下請假是否有請到嗎,False,很抱歉，我無法回答以上問題，請聯絡8855。
"Hi
因疫情關係婚假可以延長一年，但需要獲得課部處的同意信件，簽到BU Head - David Yen，最後把信件提供給HR - Yui Wong——>請問簽到BU Head意思是 把課處長的信轉給DAVID?",True,是的，簽到BU Head - David Yen的意思是需要課處長先簽核同意後，再由David Yen簽核。最後再把同意信件提供給HR - Yui Wong。
"您好
我是新進同仁
緯創園地不能使用
可以請教您嗎",True,很抱歉，我無法回答以上問題，請聯絡IT部門的Sam Xie (謝悰宇) (#8965) 或是寄信至 SamXie@wistronits.com 詢問相關問題。
"hrms最近有更新嗎?
電腦版會有這樣的畫面",False,很抱歉，我無法回答以上問題，請聯絡8855。
"想問問
最近 還要寫體溫系統嗎",False,很抱歉，我無法回答以上問題，請聯絡8855。
無法簽核表單,True,"請將問題畫面截圖Mail寄給承辦人，待系統廠商解決問題，承辦人會再回覆您。
Yui/#8836/YuiWong@wistronits.com"
Hi 請假加班系統好像進不了囉,True,"請問您是否有收到任何錯誤訊息？如果有，請提供錯誤訊息的電腦畫面截圖，並寄信給人資部承辦人處理。如果沒有，請嘗試重新登入系統或清除瀏覽器快取，若仍無法進入系統，請聯絡人資部門協助處理。人資部聯絡方式如下：
Yui/#8836/YuiWong@wistronits.com"
可以詢問為什麼請假系統進不去,True,"請將問題畫面截圖Mail寄給承辦人，待系統廠商解決問題，承辦人會再回覆您。
Yui/#8836/YuiWong@wistronits.com"
您好，我有一個團保的問題，目前我老婆這邊有一個保險正在跟業務接洽，幫我們處理保險的業務，有問我們一個問題。主要是想要問說，我們的團險，可否用「副本收據」來申請理賠？,True,您好，根據我們的FAQ，團保理賠可以使用醫院開立的副本收據，但自行影印的影本則無法申請團保理賠。如果您有其他團保相關問題，歡迎來信向承辦人索取相關資訊，承辦人的聯絡方式為Yui/#8836/YuiWong@wistronits.com。
是指年假還有167個小時嗎?(到明年的到職日前),False,很抱歉，我無法回答以上問題，請聯絡8855。
Hi HRMS網站好像壞掉了,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com尋求協助。
"請問本月申請的費用報銷
會在本月就入帳戶嗎～",True,若費用申請及報銷單已經送至財務室且無問題，則會在每週四之前完成付款，下週四入帳戶(遇假日提前)。若有任何問題，請聯絡曾韋恩/#8825/AndyTseng@wistronits.com。
"您好 我這邊遇到緯創加班系統無法進入
可以協助嗎",True,很抱歉，我無法回答以上問題，請聯絡謝悰宇/8965/SamXie@wistronits.com協助處理。
詢問內容摘要,True,很抱歉，請提供詢問內容摘要。
您好，想要請問一下：第一點.團保理賠申請書正本（保單號碼及左下角送件單位填寫欄留空），這個我要去哪裡下載,True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com。
"不好意思，想請問，我的特休假目前還有幾天？
因為目前沒有電腦可連上HR系統，不知可否代為確認，
還有特休假發放是每年1月1日發放當年年資特休假，還是以每年到職日發放？
因為看說明好像是週年制，但因無電腦可登入hr系統確認，所以想麻煩代為確認，謝謝",True,很抱歉，我無法回答以上問題，請聯絡Yui/#8836/YuiWong@wistronits.com詢問特休假天數及發放方式。
"hi 服務中心小幫手，我有疑惑想請教。
想確認一下，加班轉津貼的話，是不是金額會在跨年度前結算?
而不是次月
另外，我記得年初有加班轉代休
可是系統上沒有假別",False,很抱歉，我無法回答以上問題，請聯絡8855。
"Hello~
請問iOS的緯軟園地APP是不是沒辦法下載呢最近
掃描完卡在這裡",True,很抱歉，我無法回答以上問題，請聯絡謝悰宇/8965/SamXie@wistronits.com。
Hi~outlook 被鎖了,False,很抱歉，我無法回答以上問題，請聯絡8855。
你好，請問員工福利金扣款的計算方式為何？謝謝,True,很抱歉，我無法回答以上問題，請聯絡Maggie/#8839/MaggieWu@wistronits.com詢問。
