prompt,completion
"q:報帳時登載的緯創軟體公司抬頭及統編是什麼？
 a: END"," 抬頭：緯創軟體股份有限公司。Wistron Information Technology and Services Corporation。。
統一編號：86714857
說明:國內發票收據抬頭請使用中文公司名稱，國外發票收據抬頭可使用中英文公司名稱二擇一。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:報帳時登載的福委會抬頭及統編是什麼？
 a: END"," 抬頭：緯創軟體股份有限公司職工福利委員會
統一編號：13539025。

Contact:陳巧潔/#8828/SandyChen@wistronits.com END"
"q:報帳時登載的緯軟資服公司抬頭及統編是什麼？
 a: END"," 抬頭：緯軟資服股份有限公司。WITS Taiwan, Inc.。
統一編號：90575998。
說明:國內發票收據抬頭請使用中文公司名稱，國外發票收據抬頭可使用中英文公司名稱二擇一。

Contact:高譽慈/#8840/Elsakao@wistronits.com END"
"q:我想知道財務部請款單的收件時間及付款規範？
 a: END"," 1.員工部分：每週四之前收件，下週四付款(遇假日提前)。
2.廠商部分：請於20號之前送件，固定每月25號付款(按付款天期)，遇假日順延。
3.Freelancer：請於5號之前提交工時表，固定每月15號付款(遇假日提前)。

Contact:高譽慈/#8840/Elsakao@wistronits.com
曾韋恩/#8825/AndyTseng@wistronits.com
陳巧潔/#8828/SandyChen@wistronits.com END"
"q:預支出差的旅費，什麼時候可以拿到預支款？
 a: END"," 每週四之前送件會計部，下週四付款(遇假日提前)。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:為什麼費用報銷沒有收到錢的可能原因為何？
 a: END"," 1.報銷單及憑證未送至財務室。
2.報銷單及憑證有問題需補件，尚未將補件文件送至財務室。

Contact:曾韋恩/#8825/AndyTseng@wistronits.com END"
"q:我可以幫別人申請資訊系統設備嗎？
 a: END"," 可以，請上BPM填寫資訊系統需求單，申請人可以修改為他人，您就可以替他人申請資訊系統設備。

Contact:陳源勝/8815/VitoChen@wistronits.com
謝悰宇/8965/SamXie@wistronits.com END"
"q:我要如何申請資訊設備？
 a: END"," 請上BPM填寫資訊系統需求單，申請類別請選擇「OA及設備申請」，申請內容及細項再依您的需求填寫，並將需求說明清楚經主管核准後，IT人員就會開始幫您準備您所需要的資訊設備。

Contact:陳源勝/8815/VitoChen@wistronits.com
謝悰宇/8965/SamXie@wistronits.com END"
"q:我有工作上需要用到的軟體想安裝，要如何找IT安裝？
 a: END"," 請參閱問題【我要如何申請資訊設備？】操作後，IT人員會跟您聯絡；
若有急需，可以直接到IT部門先安裝，之後再上BPM補資訊系統需求單。

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:自購電腦，公司有補助嗎？
 a: END"," 有，請參考下方附件檔案【採購電腦補助管理辦法】辦理。
\\FILES\Pub\系統設定操做手冊\TM-100 採購電腦補助管理辦法_V1.0.pdf 

Contact:陳源勝/8815/VitoChen@wistronits.com
謝悰宇/8965/SamXie@wistronits.com END"
"q:BPM系統上無法申請的設備，要如何請購？
 a: END"," 請上BPM填寫請購採購驗收單請購。

Contact:陳源勝/8815/VitoChen@wistronits.com
謝悰宇/8965/SamXie@wistronits.com END"
"q:我要如何辦理資產退庫？
 a: END"," 請上BPM填寫資產異動申請單，並依照下述選擇及填寫
異動別：退庫
移入部門：WR101C
移入人：免填
最後將退庫需求說明清楚，以及資產資料填妥，送出表單後至IT部門繳回資產即可完成辦理。

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:我的信箱/BPM無法登入，要找誰處理？
 a: END"," 若是信箱無法登入，請與Vito及William聯繫；BPM的部分，台北與大陸地區請與Sam聯繫。

Contact:陳源勝/8815/VitoChen@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com
謝悰宇/8965/SamXie@wistronits.com END"
"q:Cisco Jabber有問題該找誰處理？
 a: END"," Cisco Jabber有異常或有問題都可以與以下IT人員聯繫。William

Contact:高唯朕/8813/WilliamKao@wistronits.com END"
"q:Outlook通訊錄如何匯入？
 a: END"," 請參考下方附件檔案【Outlook2010通訊錄設定SOP】操作。

Contact:陳源勝/8815/VitoChen@wistronits.com
謝悰宇/8965/SamXie@wistronits.com END"
"q:我要如何透過VPN登入HRMS請假加班系統？
 a: END"," 為防範外部入侵機密資訊洩漏資安風險及配合公司資安政策， HRMS對外Internet服務HR已公告服務關閉，如同仁請假、加班、簽核需透過VPN登入系統，同仁請使用 SSL VPN(PaloAlto) 進行連線，使用手冊如下連結。
https://freefiles.wistronits.com/Wistronits/PaloAltoSSLVPN/
HRMS請假加班系統:https://hrmsportal.wistronits.com/portal/

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:我要如何在手機上收發公司郵件？
 a: END"," 請參考下方附件檔案【Outlook手機收信設定】操作。

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:我要如何登入webmail變更公司系統密碼？
 a: END"," 請參考下方附件檔案【webmail登入&變更密碼】操作。

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:我要如何在我的電腦上設定Outlook？
 a: END"," 請依Outlook連線模式參考下方附件檔案設定。

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:公司好像有員工專屬的APP，請問要如何下載？
 a: END"," 緯軟員工專屬APP-緯軟園地WITSLife，請依您的手機作業系統點擊連結下載
Android：https://tinyurl.com/y99o2fjz
iOS：https://www.wistronits.com/empserviceapp
iOS用戶初次安裝請先閱讀安裝說明：https://support.apple.com/zh-tw/HT204460

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:我要如何從我的分機代接其他同仁的分機？（群組代接電話）
 a: END"," 將分機群組資料提供給IT承辦人員林政男或高唯朕設定。

Contact:林政男/8818/ChengnanLin@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com END"
"q:公司網路要怎麼連？（wifi密碼是多少？）
 a: END"," 公司網路連線分為以下兩種連線方式
1.使用網路線連網 
2.無線連網
Wifi名稱：WITS-Wireless，密碼：使用網域帳密
Wifi名稱：WITS-Guest，密碼：請詢問IT

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:公司網路擋了很多我工作需要使用的網站，該如何解決？（ex.104）
 a: END"," 如有特殊業務需要請至BPM提出資訊系統需求單，申請類別「lnternet 權限申請」，MAC地址請參考下列網站查看後填寫，並將所需開通的網址於需求說明列出，經主管核准後，IT人員就會幫您開通。

Contact:謝悰宇/8965/SamXie@wistronits.com
高唯朕/8813/WilliamKao@wistronits.com END"
"q:會議室投影機故障要請誰處理？
 a: END"," 請向IT部門詢問處理。

Contact:謝悰宇/8965/SamXie@wistronits.com END"
"q:我不想用公司的電腦，可以帶自己的電腦作業嗎？
 a: END"," 可以，但要先行找承辦人登記並且符合公司安全政策以及安裝有效的防毒軟體。

Contact:黃志偉/8819/CyrilHuang@wistronits.com
陳源勝/8815/VitoChen@wistronits.com END"
"q:我可以在公司電腦自行下載非授權之軟體嗎？
 a: END"," 不建議喔，雖有FreeWare軟體，但會有種植木馬程式的疑慮。

Contact:黃志偉/8819/CyrilHuang@wistronits.com
陳源勝/8815/VitoChen@wistronits.com END"
"q:資安教育訓練影片，可以從哪裡可看？
 a: END"," 資安教育訓練影片連結：https://drive.google.com/open?id=1A49zVwrqVs3HNJX-IKnFH4jsluMCnJ5O¶

Contact:黃志偉/8819/CyrilHuang@wistronits.com END"
"q:如何進行加班申請？
 a: END"," 請在加班事實發生後的三天內，記得至HR Portal填寫加班申請單申請
加班申請流程：https://reurl.cc/QdE1mb

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何查詢加班紀錄？
 a: END"," 至HR Portal右下角選擇「我的考勤申請」，加班申請中查詢，於左下角＂搜索＂欄位設定搜尋期間

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:假日臨時出勤可以算加班嗎？
 a: END"," 若因工作、客戶或專案臨時需求導致假日出勤視為加班

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我星期六、日可以加班嗎？
 a: END"," 可以，但依公司及勞基法規定，同一周的星期六、日不可同時加班，必須遵守七天至少休息一天的原則。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:加班費如何計算？
 a: END"," 依勞基法規定比例計算，分為平日加班、休息日加班、國定假日加班；平日加班前2小時加給1又1/3，之後加給1又2/3、休息日加班前2小時加給1又1/3，之後加給1又2/3、國定假日加班給加倍工資（1倍）。

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:加班費何時入帳？
 a: END"," HR的考勤區間為本月的23日-下個月的22日，於此期間加班申請單主管都審批完成的加班單，則會併在當月薪資發放，若於23號以後才審批完成的加班單，就會併於下個月的薪資發給。

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:輪班津貼如何計算？
 a: END"," 一般來說，大部份同仁的工作型態是沒有輪班的需求，所以沒有輪班津貼；但如果因特定單位或專案有輪班需求，輪班津貼的計算方式會因輪班類型的不同而有差異，請再與人資同仁洽詢，我們會仔細的向您說明。

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:公司有加班辦法嗎？
 a: END"," 有，詳細可參考下方附件檔案「台灣地區員工請假暨出勤辦法」

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:加班要多久內提出申報？
 a: END"," 請在加班事實發生後三天內提出申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:加班費可以換成補休時數嗎？
 a: END"," 1.同仁於每次提出加班申請時，可於加班申請單勾選「是否轉調休」，經主管審核通過後，加班時數將轉入「補休假」假別，同仁可依請假規則使用補休假時數。
2.「補休假」使用期間同特休假，補休假時數需在您的特休週年結轉前使用完畢，未休畢之時數，核算加班費。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:駐點公司要求我加班，但我不願意，怎麼辦？
 a: END"," 如果您真的很不願意加班，任何人都不能強迫您加班，若客戶態度強硬，請您與緯創軟體的主管聯繫協調。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我在駐點公司加班時間超過法定的每日四小時，怎麼辦？
 a: END"," 勞基法規定，平日加班時數上限為四小時，請您保重自己的身體，不要超時工作。如果是駐點公司主管要求，請立刻跟緯創軟體的主管回報客戶加班情況，請主管與客戶協調。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我在駐點公司加班時間超過法定的每月四十六小時
 a: END"," 勞基法規定每月加班時數上限為四十六小時，若客戶加班需求十分龐大，請先與緯創軟體的部門主管回報加班情況，請主管與客戶溝通協調。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:薪資發給的時間？
 a: END"," 薪資給付日固定為每月5號

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:如何查詢我的薪資明細？
 a: END"," 請您至人資服務平台查詢。 方法如下：

1.先設定私人郵件地址：
進入HR自助 >人事管理 >員工自助 >我的檔案 >個人資訊 >維護欲收取薪資條密碼之私人郵件地址>點擊保存

2.首次查詢：
至HR自助 >薪資福利 >員工自助 >我的薪資>點選重置密碼，
系統將發送薪資查詢密碼函至您上述指定之私人email。（若您未收到，請試著至您垃圾郵件中查找，並將iSM_HRMS@wistronits.com此一寄件地址設定為安全之寄件者）
輸入初始查詢密碼後，再行登錄可自行按下修改密碼，改為您指定的薪資查詢密碼，未來若忘記密碼，亦請依上述步驟重置密碼

3.查詢薪資明細：
至HR自助 >薪資福利 >員工自助 >我的薪資，輸入欲查詢的月份即可

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:我要如何申請薪資證明
 a: END"," 請Email予承辦人進行薪資證明申請，並簡述申請原因即可。

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:薪資中的伙食津貼是什麼？
 a: END"," 伙食津貼為財政部訂定之薪資所得免稅額

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:如果我有薪資問題，該找誰協助？
 a: END"," 請洽詢HR Maggie (02-77458839/MaggieWu@wistronits.com)

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:我的時薪如何計算？
 a: END"," 每月時薪核算方式為：月全薪（本薪+伙食津貼+職務加給+主管加給）/自然月30天/一日工時8小時，四捨五入後即得時薪

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:公司薪轉戶有跨轉跨提優惠嗎？
 a: END"," 富邦薪轉戶每月跨行轉帳、跨行提款免手續費合計99次。

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:補班日出勤薪資如何計算？
 a: END"," 如遇補班日（公司無需補班）需配合客戶行事曆出勤者，當日另給彈性假時數

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:未足月的薪資如何計算？
 a: END"," 月全薪（本薪+伙食津貼+職務加給+主管加給）/當月天數*實際到職天數

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:我有加班沒有領到加班費怎麼辦？
 a: END"," 每月薪資考勤期間為上月23號~當月22號，如您的加班申請單未於該區間完成審核，將於下月給付；您可至HR Portal查詢您的加班申請單之審批；若確定不是以上的因素，可以來電或Email詢問人資部承辦人

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:我沒有請假為什麼有假勤扣款？
 a: END"," 每月薪資考勤期間為上月23號~當月22號，如您的休假申請單未於該區間完成審核，將於下月扣除；您可至HR Portal查詢您的休假申請單之審批日期，若確定不是以上的因素，可以來電或Email詢問人資部承辦人

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:如何變更勞工退休金自願提繳？
 a: END"," 員工退休金自願提繳意願變更作業，每年統一於6月份及12月份進行變更調查；如欲調整提繳比率，請留意公司MEMO通知，屆時再請提出申請，其他時間不開放變更

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我有推薦新人加入公司，推薦奬金會在何時發放？
 a: END"," 公司鼓勵員工推薦新人加入公司，並依入職時的職等及職類發放3,000-20,000元推薦獎金，滿一個月先發50%，試用期通過再發50%。

Contact:Maggie/#8839/MaggieWu@wistronits.com END"
"q:我沒有富邦帳戶，要如何開戶？
 a: END"," 開戶方式有二：預約開戶(有摺)及數位開戶(無摺)。
詳情請參考預約開戶&數位開戶

Contact:Choya/#8904/ChoyaLee@Wistronits.com END"
"q:如何申請眷屬加退健保？
 a: END"," 請以郵件提供您的工號、眷屬姓名、與您的關係稱謂、生日、身分證字號、加保生效日給承辦人辦理加保

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何查詢自己的眷屬是否有加／退健保在公司？
 a: END"," 請來信跟承辦人尋求協助，我們將協助您向健保局查詢。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何申請健保投保證明？
 a: END"," 請來信跟承辦人尋求協助，我們將協助您申請投保證明。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:申請育嬰留停健保可以續保嗎？
 a: END"," 可繼續於公司投保，但留停期間的健保費繳費單會寄到您的住家，請記得按時繳交保費。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:申請傷病留停健保可以續保嗎？
 a: END"," 同仁因普通傷害、疾病或生理原因必須治療或休養者，若超過公司普通傷病假規定(如下圖)之期限，經以事假或特別休假抵充後仍未痊癒者，得申請留職停薪，期限以一年為限；而在因病留職停薪期間，您的健保將無法繼續於公司投保。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何申請勞保投保證明？
 a: END"," 請以Mail方式，來信跟人資部承辦人申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:勞保生育給付申請
 a: END"," 請來信跟承辦人索取生育給付申請書，承辦人將會郵件回覆相關表單及申請注意事項，填寫完成後，並附上您家寶貝的出生證明寄給承辦人協助申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:勞保傷病給付申請
 a: END"," 請來信跟承辦人索取傷病給付申請書，承辦人將會郵件回覆相關表單及申請注意事項，填寫完成後，並附上診斷證明寄給承辦人協助申請（一般傷病給付須住院超過4天未領取正常薪酬才可申請）

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:勞保家屬死亡給付申請
 a: END"," 可自行申請，也可來信請人資部承辦人送件，承辦人將會郵件回覆相關表單及申請注意事項，填寫完成後，附上家屬死亡證明寄給承辦人協助申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:勞保失能給付申請
 a: END"," 請來信跟承辦人索取失能給付申請書，承辦人將會郵件回覆相關表單及申請注意事項，填寫完成後，附上診斷證明寄給承辦人協助申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:申請育嬰留停勞保可以續保嗎？
 a: END"," 可以，請來信跟承辦人索取表單申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:申請傷病留停勞保可以續保嗎？
 a: END"," 可以，請來信跟承辦人索取表單申請

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:我在上下班途中發生意外事故而受傷，可以申請那些保險給付？
 a: END"," 請務必報案，拿著報案三聯單及診斷證明書交給承辦人，公司會提供公傷病假、團保意外理賠

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何加保新婚配偶於公司團保？
 a: END"," 請來信告知承辦人需加保配偶於公司團保，承辦人將會郵件回覆相關表單及申請注意事項，填寫完成後，附上結婚證明寄給承辦人處理

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何加保新生子女於公司團保？
 a: END"," 請來信告知承辦人需加保子女於公司團保，承辦人將會郵件回覆相關表單及申請注意事項，填寫完成後，附上出生證明寄給承辦人處理

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何加保父、母親於公司團保？
 a: END"," 父母親及眷屬團保加保，只開放於試用期滿一個月內或年底年度調查時加保。請填寫團保加保申請單，並寄給承辦人處理

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何將眷屬從公司團保退保？
 a: END"," 請以mail跟承辦人索取退保申請書，填寫完畢寄回即可

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:團保的健康宣告書填寫注意事項
 a: END"," 申請眷屬加保需要填寫健康宣告書，而填寫注意事項會在加保約定書中說明，若是父母需加保於公司團保，請參閱問題【如何加保父、母親於公司團保？】

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何申請團保理賠？
 a: END"," 請先來信向承辦人索取理賠申請書，承辦人將會郵件回覆相關表單及申請注意事項，填寫完成後，附上診斷證明及收據正本寄給承辦人處理

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:團保理賠可以使用副本收據嗎？
 a: END"," 可以請＂醫院＂開副本收據給您，該副本會有醫院用章，但自行影印的影本則無法申請團保理賠。

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:如何查詢自己的眷屬是否有加／退團保？
 a: END"," 眷屬不會自動加入公司團保，一定要您提出申請。若您忘記了，請找承辦人詢問

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:團保的保障內容及理賠範圍有哪些？
 a: END"," 主要是住院、手術、意外傷害的理賠，詳情可來信跟人資部承辦人索取團保手冊

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:團保申請通常要多久才會知道結果？
 a: END"," 基本上約一周的時間，但仍需要視保險公司的作業時間而定。當保險公司拒絕承保時才會收到通知，如果沒收到通知就代表順利入保

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:申請育嬰留停團保會續保嗎？
 a: END"," 留職停薪期間團保會暫停

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:申請傷病留停團保會續保嗎？
 a: END"," 留職停薪期間團保會暫停

Contact:Yui/#8836/YuiWong@wistronits.com END"
"q:公司的上下班時間為何？
 a: END"," 公司標準工時為8小時（不含中午午休1小時）；若您的主管沒有特別要求的狀況下，採彈性上下班。

上午8~10點為上班時間、下午5~7點為下班時間。

例如：您早上8點上班，則最早可以5點下班離開但若駐點於客戶現場員工，則依客戶及專案需求的上下班時間為主。

Contact:Yui/#8836/YuiWong@wistronits.com END"
